session_id,target
1,0.0022099552636363584
2,4.808795918257945e-09
3,1.8729296476310883e-08
4,2.353990648464104e-08
5,3.131124341228164e-05
6,0.00021845651476912005
7,0.0005478776444933022
8,0.00013228235242444572
9,0.0007952123906636387
10,0.10313168002740548
11,3.0367853811896915e-05
12,8.64454425399023e-05
13,0.00043768492347589106
14,0.35769569805198903
15,5.0205088302313715e-05
16,0.004008551908958518
17,0.015205579043321071
18,3.192475134846933e-05
19,0.0009339800134013977
20,2.7298004815595143e-07
21,0.062326676218438404
22,5.5544013065584674e-08
23,2.8676657567184522e-05
24,0.00033848955874997677
25,0.0717876083311775
26,4.597447699110705e-09
27,0.0006276701777268029
28,3.690332361927142e-07
29,0.014567406434690719
30,0.00011076885565074727
31,0.013669096485400725
32,0.04383473754322448
33,0.000620682827888197
34,9.342165084622211e-08
35,0.01339372290869393
36,0.0003265531714521568
37,6.202850601062763e-09
38,1.3748590348179558e-08
39,0.00011076885565074727
40,3.000304133617447e-05
41,0.00044258996087975344
42,0.0012585221639046498
43,1.8721881819424259e-06
44,1.4062456478893776e-05
45,0.24374935617589655
46,8.730912296397314e-06
47,0.00925560304176745
48,0.0005911079239988038
49,2.5103170599852733e-05
50,9.502643927178067e-06
51,1.240874682131772e-07
52,6.011923028388657e-06
53,0.035745025027831306
54,0.00010332147290518654
55,6.148628428621108e-06
56,0.0018046583033637978
57,1.1777908513417957e-06
58,1.545178433383336e-05
59,1.5888716827086046e-05
60,6.63745444162192e-06
61,9.05253746318205e-06
62,0.0013677612447073372
63,1.5020209939845661e-05
64,3.215734871190019e-05
65,7.066212910129979e-06
66,1.1958995192446715e-07
67,0.00019602292433650956
68,0.00015696954303833635
69,0.09147384333627595
70,0.00014672606800810072
71,0.0002719988520266605
72,1.5888716827086046e-05
73,0.030181065446689512
74,4.808795918257945e-09
75,2.8876694347072713e-05
76,0.00036005736339086324
77,0.00017102603275195096
78,0.0015260010137297772
79,7.262895509240616e-06
80,0.00012250903156427005
81,2.3601414335785825e-05
82,3.911568026254649e-05
83,3.7345837556719075e-08
84,0.24976715651488204
85,1.3635737858494247e-05
86,6.215437513975462e-07
87,0.0011987166162572042
88,0.0005862764753278496
89,0.00031461004136280803
90,0.018068341874396307
91,0.00013075369230555137
92,9.619285959570604e-06
93,0.03279827841972965
94,0.0008487405217692046
95,0.0387833934323864
96,3.3865414484474495e-08
97,9.706260934169775e-05
98,6.851138985970242e-05
99,2.1820469125087567e-05
100,0.00010114046081652854
101,0.0005102560112804342
102,0.07066335946759776
103,0.0022693739426699906
104,0.0023869532828061277
105,3.734858946998378e-06
106,0.0002782514523229525
107,0.0003326492458869076
108,1.9327717292597006e-05
109,1.813389863226329e-05
110,9.305854827262277e-05
111,0.00014642141688894005
112,2.5751574297902964e-07
113,0.015392534005010507
114,6.681709933066392e-06
115,0.00013013613615488984
116,0.0008129257493529638
117,0.0014487388265931951
118,0.004408274004635817
119,0.009801336452566041
120,0.0001470695341066354
121,3.891293746549841e-05
122,0.00011076885565074727
123,0.00028363242905772183
124,2.3091287582533928e-05
125,0.0016319663062164533
126,4.5714042436069345e-07
127,5.225440625927214e-09
128,0.00035468929649314464
129,0.0030238759696250197
130,0.0012010599780174686
131,0.013174045653208545
132,0.0005478776444933022
133,0.0008460466945130099
134,1.5116532223188003e-06
135,6.035840261486149e-06
136,3.215734871190019e-05
137,0.000322189418897628
138,0.0016285654878395112
139,8.236607214250546e-07
140,0.0005440141741372181
